"ToOrderLineId","SoOrderLineId","ToCustomerId","ToDepartureDate","ToArrivalDate","ToProductId","ToInKg","ToInCarton","ToQuantity","ToSalesUnit"
1447521,1204871,"CUS008",2017-09-05,2017-09-07,"SKU20",10,1,10,"Kg"
1447530,1204852,"CUS008",2017-09-05,2017-09-07,"SKU15",8.64,2,8.64,"Kg"
1447532,1204902,"CUS008",2017-09-05,2017-09-07,"SKU09",5.04,1,5.04,"Kg"
1447559,1204868,"CUS008",2017-09-05,2017-09-08,"SKU05",4.32,1,4.32,"Kg"
1447570,1204200,"CUS080",2017-09-05,2017-09-05,"SKU05",4.32,1,4.32,"Kg"
1447593,1204531,"CUS001",2017-09-05,2017-09-05,"SKU14",11.88,2,11.88,"Kg"
1447654,1204523,"CUS001",2017-09-05,2017-09-06,"SKU05",4.32,1,4.32,"Kg"
1447655,1204514,"CUS001",2017-09-05,2017-09-06,"SKU17",4.32,1,4.32,"Kg"
1447662,1204848,"CUS014",2017-09-05,2017-09-05,"SKU02",49.344,4,49.344,"Kg"
1447671,1204839,"CUS014",2017-09-05,2017-09-05,"SKU06",12.54,2,12.54,"Kg"
1447676,1204819,"CUS014",2017-09-05,2017-09-06,"SKU07",8.4,3,8.4,"Kg"
1447678,1204816,"CUS014",2017-09-05,2017-09-05,"SKU08",9.36,1.5,9.36,"Kg"
1447690,1204809,"CUS014",2017-09-05,2017-09-05,"SKU16",12.552,1,12.552,"Kg"
1447710,1204845,"CUS014",2017-09-05,2017-09-05,"SKU05",4.32,1,4.32,"Kg"
1447715,1204816,"CUS014",2017-09-05,2017-09-05,"SKU08",3.12,0.5,3.12,"Kg"
1447748,1204251,"CUS052",2017-09-05,2017-09-06,"SKU13",7.2,3,7.2,"Kg"
1447754,1204246,"CUS052",2017-09-05,2017-09-06,"SKU08",6.24,1,6.24,"Kg"
1447785,1204277,"CUS052",2017-09-05,2017-09-05,"SKU06",6.27,1,6.27,"Kg"
1447802,1205112,"CUS006",2017-09-05,2017-09-06,"SKU02",172.7,14,172.7,"Kg"
1447803,1205171,"CUS006",2017-09-05,2017-09-06,"SKU16",62.76,5,62.76,"Kg"
1447808,1205134,"CUS006",2017-09-05,2017-09-05,"SKU10",37.8,6,37.8,"Kg"
1447813,1205125,"CUS006",2017-09-05,2017-09-05,"SKU06",18.81,3,18.81,"Kg"
1447817,1205145,"CUS006",2017-09-05,2017-09-06,"SKU08",12.48,2,12.48,"Kg"
1447831,1205142,"CUS006",2017-09-05,2017-09-05,"SKU13",4.8,2,4.8,"Kg"
1447868,1204756,"CUS036",2017-09-05,2017-09-05,"SKU07",11.2,4,11.2,"Kg"
1447878,1204740,"CUS036",2017-09-05,2017-09-06,"SKU09",10.08,2,10.08,"Kg"
1447880,1204742,"CUS036",2017-09-05,2017-09-06,"SKU17",8.64,2,8.64,"Kg"
1447894,1204774,"CUS036",2017-09-05,2017-09-06,"SKU16",12.552,1,12.552,"Kg"
1447919,1204782,"CUS036",2017-09-05,2017-09-06,"SKU05",4.32,1,4.32,"Kg"
1447928,1204792,"CUS036",2017-09-05,2017-09-05,"SKU06",6.27,1,6.27,"Kg"
1447940,1204424,"CUS004",2017-09-05,2017-09-06,"SKU02",925.2,75,925.2,"Kg"
1447976,1204463,"CUS004",2017-09-05,2017-09-05,"SKU06",18.81,3,18.81,"Kg"
1447986,1204502,"CUS004",2017-09-05,2017-09-05,"SKU13",9.6,4,9.6,"Kg"
1448001,1204488,"CUS004",2017-09-05,2017-09-06,"SKU08",12.48,2,12.48,"Kg"
1448011,1204469,"CUS004",2017-09-05,2017-09-05,"SKU17",4.32,1,4.32,"Kg"
1448019,1204457,"CUS004",2017-09-05,2017-09-05,"SKU14",5.94,1,5.94,"Kg"
1448030,1204491,"CUS004",2017-09-05,2017-09-05,"SKU16",12.552,1,12.552,"Kg"
1448036,1204429,"CUS004",2017-09-05,2017-09-05,"SKU07",5.6,2,5.6,"Kg"
1499190,1244857,"CUS015",2017-09-06,2017-09-06,"SKU04",3.768,2,3.768,"Kg"
1499208,1245227,"CUS003",2017-09-06,2017-09-07,"SKU10",1.26,0.2,1.26,"Kg"
1499227,1245980,"CUS019",2017-09-06,2017-09-07,"SKU16",12.552,1,12.552,"Kg"
1499228,1245628,"CUS005",2017-09-06,2017-09-06,"SKU16",12.552,1,12.552,"Kg"
1499229,1246922,"CUS043",2017-09-06,2017-09-08,"SKU16",12.552,1,12.552,"Kg"
1499231,1245660,"CUS005",2017-09-06,2017-09-06,"SKU10",25.2,4,25.2,"Kg"
1499234,1246687,"CUS010",2017-09-06,2017-09-08,"SKU10",12.6,2,12.6,"Kg"
1499238,1245988,"CUS019",2017-09-06,2017-09-08,"SKU10",6.3,1,6.3,"Kg"
1499239,1246938,"CUS043",2017-09-06,2017-09-08,"SKU10",6.3,1,6.3,"Kg"
1499254,1245935,"CUS019",2017-09-06,2017-09-08,"SKU06",6.27,1,6.27,"Kg"
1499255,1245644,"CUS005",2017-09-06,2017-09-06,"SKU06",6.27,1,6.27,"Kg"
1499256,1244936,"CUS057",2017-09-06,2017-09-07,"SKU06",2.508,0.4,2.508,"Kg"
1499263,1244848,"CUS015",2017-09-06,2017-09-06,"SKU11",1.872,1,1.872,"Kg"
1499264,1244813,"CUS015",2017-09-06,2017-09-07,"SKU12",1.848,1,1.848,"Kg"
1499265,1245414,"CUS031",2017-09-06,2017-09-07,"SKU09",25.2,5,25.2,"Kg"
1499266,1245706,"CUS005",2017-09-06,2017-09-07,"SKU09",5.04,1,5.04,"Kg"
1499267,1245955,"CUS019",2017-09-06,2017-09-07,"SKU09",5.04,1,5.04,"Kg"
1499268,1246893,"CUS043",2017-09-06,2017-09-09,"SKU09",5.04,1,5.04,"Kg"
1499303,1245933,"CUS019",2017-09-06,2017-09-08,"SKU13",9.6,4,9.6,"Kg"
1499304,1245667,"CUS005",2017-09-06,2017-09-06,"SKU13",7.2,3,7.2,"Kg"
1499305,1246896,"CUS043",2017-09-06,2017-09-09,"SKU13",2.4,1,2.4,"Kg"
1499411,1245225,"CUS003",2017-09-06,2017-09-07,"SKU01",555,185,555,"Kg"
1499412,1245225,"CUS003",2017-09-06,2017-09-08,"SKU01",1263,421,1263,"Kg"
1499413,1245635,"CUS005",2017-09-06,2017-09-07,"SKU02",1850.4,150,1850.4,"Kg"
1499415,1245940,"CUS019",2017-09-06,2017-09-07,"SKU02",925.2,75,925.2,"Kg"
1499420,1245417,"CUS031",2017-09-06,2017-09-07,"SKU01",105,35,105,"Kg"
1499422,1246623,"CUS010",2017-09-06,2017-09-08,"SKU02",444.1,36,444.1,"Kg"
1499440,1246617,"CUS010",2017-09-06,2017-09-09,"SKU08",106.08,17,106.08,"Kg"
1499442,1246669,"CUS010",2017-09-06,2017-09-09,"SKU07",47.6,17,47.6,"Kg"
1499445,1245417,"CUS031",2017-09-06,2017-09-06,"SKU01",45,15,45,"Kg"
1499448,1246892,"CUS043",2017-09-06,2017-09-08,"SKU02",185.04,15,185.04,"Kg"
1499482,1245723,"CUS005",2017-09-06,2017-09-06,"SKU08",49.92,8,49.92,"Kg"
1499560,1246648,"CUS010",2017-09-06,2017-09-08,"SKU17",17.28,4,17.28,"Kg"
1499632,1245673,"CUS005",2017-09-06,2017-09-06,"SKU05",8.64,2,8.64,"Kg"
1499634,1245953,"CUS019",2017-09-06,2017-09-08,"SKU05",8.64,2,8.64,"Kg"
1499644,1246720,"CUS010",2017-09-06,2017-09-08,"SKU20",20,2,20,"Kg"
1499649,1246629,"CUS010",2017-09-06,2017-09-09,"SKU05",8.64,2,8.64,"Kg"
1499657,1246961,"CUS043",2017-09-06,2017-09-09,"SKU07",5.6,2,5.6,"Kg"
1499708,1246962,"CUS043",2017-09-06,2017-09-09,"SKU14",5.94,1,5.94,"Kg"
1499709,1246639,"CUS010",2017-09-06,2017-09-09,"SKU14",5.94,1,5.94,"Kg"
1499713,1245617,"CUS005",2017-09-06,2017-09-07,"SKU14",5.94,1,5.94,"Kg"
1499736,1245666,"CUS005",2017-09-06,2017-09-06,"SKU20",10,1,10,"Kg"
1499793,1246885,"CUS043",2017-09-06,2017-09-09,"SKU08",6.24,1,6.24,"Kg"
1499808,1246887,"CUS043",2017-09-06,2017-09-09,"SKU17",4.32,1,4.32,"Kg"
1499831,1245630,"CUS005",2017-09-06,2017-09-06,"SKU17",2.773,0.6419,2.773,"Kg"
1499844,1244887,"CUS015",2017-09-06,2017-09-06,"SKU08",3.12,0.5,3.12,"Kg"
1499859,1245630,"CUS005",2017-09-06,2017-09-07,"SKU17",1.547,0.3581,1.547,"Kg"
1499928,1244975,"CUS020",2017-09-06,2017-09-08,"SKU05",0.96,0.22222,0.96,"Kg"
1499972,1245411,"CUS067",2017-09-06,2017-09-07,"SKU01",750,250,750,"Kg"
1500015,1245236,"CUS037",2017-09-06,2017-09-06,"SKU09",1.26,0.25,1.26,"Kg"
1500080,1244719,"CUS009",2017-09-06,2017-09-06,"SKU13",2.4,1,2.4,"Kg"
1500083,1244767,"CUS009",2017-09-06,2017-09-06,"SKU05",1.92,0.44444,1.92,"Kg"
1500161,1245324,"CUS051",2017-09-06,2017-09-07,"SKU12",1.848,1,1.848,"Kg"
1500163,1245342,"CUS051",2017-09-06,2017-09-06,"SKU04",1.884,1,1.884,"Kg"
1500165,1245317,"CUS051",2017-09-06,2017-09-06,"SKU19",6,1,6,"Kg"
1500169,1245325,"CUS051",2017-09-06,2017-09-06,"SKU11",1.872,1,1.872,"Kg"
1500179,1245422,"CUS045",2017-09-06,2017-09-07,"SKU01",30,10,30,"Kg"
1500301,1245084,"CUS028",2017-09-06,2017-09-07,"SKU14",0.66,0.11111,0.66,"Kg"
1500304,1245064,"CUS028",2017-09-06,2017-09-07,"SKU05",0.48,0.11111,0.48,"Kg"
1500404,1245173,"CUS049",2017-09-06,2017-09-06,"SKU10",1.26,0.2,1.26,"Kg"
1500414,1245162,"CUS049",2017-09-06,2017-09-07,"SKU05",0.48,0.11111,0.48,"Kg"
1500492,1245278,"CUS024",2017-09-06,2017-09-07,"SKU05",8.64,2,8.64,"Kg"
1500514,1246532,"CUS008",2017-09-06,2017-09-08,"SKU02",456.43,37,456.43,"Kg"
1500546,1246606,"CUS008",2017-09-06,2017-09-08,"SKU07",13.02,4.65,13.02,"Kg"
1500564,1246614,"CUS008",2017-09-06,2017-09-08,"SKU10",18.9,3,18.9,"Kg"
1500581,1246528,"CUS008",2017-09-06,2017-09-09,"SKU05",8.64,2,8.64,"Kg"
1500598,1246576,"CUS008",2017-09-06,2017-09-09,"SKU09",15.12,3,15.12,"Kg"
1500608,1246505,"CUS008",2017-09-06,2017-09-08,"SKU06",6.27,1,6.27,"Kg"
1500612,1246589,"CUS008",2017-09-06,2017-09-08,"SKU08",6.24,1,6.24,"Kg"
1500615,1246616,"CUS008",2017-09-06,2017-09-08,"SKU20",20,2,20,"Kg"
1500618,1246594,"CUS008",2017-09-06,2017-09-08,"SKU14",5.94,1,5.94,"Kg"
1500630,1246514,"CUS008",2017-09-06,2017-09-08,"SKU17",4.32,1,4.32,"Kg"
1500638,1246606,"CUS008",2017-09-06,2017-09-09,"SKU07",0.98,0.35,0.98,"Kg"
1500658,1246236,"CUS001",2017-09-06,2017-09-07,"SKU16",150.62,12,150.62,"Kg"
1500661,1246172,"CUS001",2017-09-06,2017-09-06,"SKU10",75.6,12,75.6,"Kg"
1500667,1246193,"CUS001",2017-09-06,2017-09-06,"SKU06",31.35,5,31.35,"Kg"
1500674,1246168,"CUS001",2017-09-06,2017-09-06,"SKU09",151.2,30,151.2,"Kg"
1500677,1246452,"CUS014",2017-09-06,2017-09-06,"SKU09",15.12,3,15.12,"Kg"
1500678,1245853,"CUS040",2017-09-06,2017-09-06,"SKU09",10.08,2,10.08,"Kg"
1500690,1246248,"CUS001",2017-09-06,2017-09-07,"SKU13",2.4,1,2.4,"Kg"
1500736,1246183,"CUS001",2017-09-06,2017-09-07,"SKU02",1838.1,149,1838.1,"Kg"
1500822,1246205,"CUS001",2017-09-06,2017-09-07,"SKU07",14,5,14,"Kg"
1500825,1246186,"CUS001",2017-09-06,2017-09-07,"SKU08",24.96,4,24.96,"Kg"
1500832,1245856,"CUS040",2017-09-06,2017-09-06,"SKU02",49.344,4,49.344,"Kg"
1500844,1246242,"CUS001",2017-09-06,2017-09-07,"SKU15",13.819,3.1989,13.819,"Kg"
1500858,1246491,"CUS014",2017-09-06,2017-09-06,"SKU05",12.96,3,12.96,"Kg"
1500861,1246439,"CUS014",2017-09-06,2017-09-07,"SKU08",18.72,3,18.72,"Kg"
1500880,1246138,"CUS001",2017-09-06,2017-09-07,"SKU05",8.64,2,8.64,"Kg"
1500887,1246156,"CUS001",2017-09-06,2017-09-06,"SKU14",11.88,2,11.88,"Kg"
1500906,1246419,"CUS014",2017-09-06,2017-09-06,"SKU17",8.64,2,8.64,"Kg"
1500909,1247002,"CUS062",2017-09-06,2017-09-07,"SKU05",8.64,2,8.64,"Kg"
1500928,1246444,"CUS014",2017-09-06,2017-09-06,"SKU14",5.94,1,5.94,"Kg"
1500937,1246402,"CUS014",2017-09-06,2017-09-06,"SKU07",2.8,1,2.8,"Kg"
1500982,1246143,"CUS001",2017-09-06,2017-09-07,"SKU17",4.32,1,4.32,"Kg"
1500984,1246399,"CUS014",2017-09-06,2017-09-07,"SKU15",4.32,1,4.32,"Kg"
1500999,1246242,"CUS001",2017-09-06,2017-09-06,"SKU15",3.4608,0.8011,3.4608,"Kg"
1501003,1246260,"CUS078",2017-09-06,2017-09-07,"SKU15",17.28,4,17.28,"Kg"
1501007,1246335,"CUS041",2017-09-06,2017-09-07,"SKU08",37.44,6,37.44,"Kg"
1501024,1246351,"CUS041",2017-09-06,2017-09-06,"SKU05",12.96,3,12.96,"Kg"
1501025,1246372,"CUS041",2017-09-06,2017-09-07,"SKU09",15.12,3,15.12,"Kg"
1501074,1246311,"CUS041",2017-09-06,2017-09-06,"SKU14",5.94,1,5.94,"Kg"
1501078,1246308,"CUS041",2017-09-06,2017-09-07,"SKU07",2.8,1,2.8,"Kg"
1501097,1246301,"CUS041",2017-09-06,2017-09-07,"SKU17",4.32,1,4.32,"Kg"
1501101,1246862,"CUS006",2017-09-06,2017-09-06,"SKU02",814.18,66,814.18,"Kg"
1501110,1246806,"CUS006",2017-09-06,2017-09-07,"SKU10",25.2,4,25.2,"Kg"
1501114,1246867,"CUS006",2017-09-06,2017-09-06,"SKU16",37.656,3,37.656,"Kg"
1501128,1246857,"CUS006",2017-09-06,2017-09-06,"SKU07",5.6,2,5.6,"Kg"
1501143,1246831,"CUS006",2017-09-06,2017-09-06,"SKU17",4.32,1,4.32,"Kg"
1501163,1246817,"CUS006",2017-09-06,2017-09-06,"SKU08",6.24,1,6.24,"Kg"
1501166,1246811,"CUS006",2017-09-06,2017-09-07,"SKU06",6.27,1,6.27,"Kg"
1501175,1246803,"CUS006",2017-09-06,2017-09-06,"SKU09",10.08,2,10.08,"Kg"
1501217,1245590,"CUS022",2017-09-06,2017-09-08,"SKU09",15.12,3,15.12,"Kg"
1501219,1245556,"CUS022",2017-09-06,2017-09-07,"SKU05",8.64,2,8.64,"Kg"
1501226,1245555,"CUS022",2017-09-06,2017-09-07,"SKU20",10,1,10,"Kg"
1501241,1245541,"CUS022",2017-09-06,2017-09-07,"SKU16",12.552,1,12.552,"Kg"
1501254,1246058,"CUS044",2017-09-06,2017-09-07,"SKU02",111.02,9,111.02,"Kg"
1501278,1246080,"CUS044",2017-09-06,2017-09-08,"SKU16",12.552,1,12.552,"Kg"
1501281,1246073,"CUS044",2017-09-06,2017-09-07,"SKU06",6.27,1,6.27,"Kg"
1501293,1246095,"CUS044",2017-09-06,2017-09-07,"SKU09",5.04,1,5.04,"Kg"
1501296,1246098,"CUS044",2017-09-06,2017-09-08,"SKU08",6.24,1,6.24,"Kg"
1501314,1246116,"CUS044",2017-09-06,2017-09-08,"SKU13",2.4,1,2.4,"Kg"
1501318,1246287,"CUS036",2017-09-06,2017-09-06,"SKU02",49.344,4,49.344,"Kg"
1501322,1246266,"CUS036",2017-09-06,2017-09-06,"SKU07",2.8,1,2.8,"Kg"
1501334,1246279,"CUS036",2017-09-06,2017-09-07,"SKU06",6.27,1,6.27,"Kg"
1501354,1246300,"CUS036",2017-09-06,2017-09-07,"SKU17",4.32,1,4.32,"Kg"
1501355,1245785,"CUS004",2017-09-06,2017-09-07,"SKU02",925.2,75,925.2,"Kg"
1501377,1245808,"CUS004",2017-09-06,2017-09-07,"SKU06",37.62,6,37.62,"Kg"
1501397,1245770,"CUS004",2017-09-06,2017-09-06,"SKU13",7.2,3,7.2,"Kg"
1501399,1245776,"CUS004",2017-09-06,2017-09-06,"SKU08",18.72,3,18.72,"Kg"
1501400,1245777,"CUS004",2017-09-06,2017-09-06,"SKU05",12.96,3,12.96,"Kg"
1501434,1245811,"CUS004",2017-09-06,2017-09-07,"SKU17",8.64,2,8.64,"Kg"
1501438,1245739,"CUS004",2017-09-06,2017-09-07,"SKU20",10,1,10,"Kg"
1501443,1245800,"CUS004",2017-09-06,2017-09-07,"SKU09",5.04,1,5.04,"Kg"
1501456,1245775,"CUS004",2017-09-06,2017-09-06,"SKU15",4.32,1,4.32,"Kg"
1501504,1246985,"CUS017",2017-09-06,2017-09-08,"SKU05",110.45,25.566,110.45,"Kg"
1501506,1246985,"CUS017",2017-09-06,2017-09-08,"SKU05",79.635,18.434,79.635,"Kg"
1501516,1246998,"CUS017",2017-09-06,2017-09-07,"SKU14",37.285,6.277,37.285,"Kg"
1501518,1246998,"CUS017",2017-09-06,2017-09-07,"SKU14",22.115,3.723,22.115,"Kg"
1560103,1291572,"CUS015",2017-09-07,2017-09-07,"SKU04",18.84,10,18.84,"Kg"
1560106,1291933,"CUS003",2017-09-07,2017-09-08,"SKU04",1.884,1,1.884,"Kg"
1560132,1292356,"CUS053",2017-09-07,2017-09-08,"SKU10",6.3,1,6.3,"Kg"
1560141,1292781,"CUS082",2017-09-07,2017-09-09,"SKU19",12,2,12,"Kg"
1560149,1293260,"CUS034",2017-09-07,2017-09-09,"SKU16",25.104,2,25.104,"Kg"
1560151,1292772,"CUS007",2017-09-07,2017-09-08,"SKU10",18.9,3,18.9,"Kg"
1560154,1293305,"CUS039",2017-09-07,2017-09-10,"SKU10",6.3,1,6.3,"Kg"
1560163,1292735,"CUS007",2017-09-07,2017-09-08,"SKU06",6.27,1,6.27,"Kg"
1560167,1291618,"CUS015",2017-09-07,2017-09-08,"SKU11",16.848,9,16.848,"Kg"
1560169,1291529,"CUS015",2017-09-07,2017-09-08,"SKU12",5.544,3,5.544,"Kg"
1560170,1291960,"CUS003",2017-09-07,2017-09-08,"SKU11",1.872,1,1.872,"Kg"
1560171,1291924,"CUS003",2017-09-07,2017-09-09,"SKU12",1.848,1,1.848,"Kg"
1560172,1292750,"CUS007",2017-09-07,2017-09-08,"SKU09",10.08,2,10.08,"Kg"
1560175,1293308,"CUS039",2017-09-07,2017-09-10,"SKU09",5.04,1,5.04,"Kg"
1560176,1293251,"CUS034",2017-09-07,2017-09-10,"SKU09",5.04,1,5.04,"Kg"
1560196,1292740,"CUS007",2017-09-07,2017-09-08,"SKU13",4.8,2,4.8,"Kg"
1560197,1293310,"CUS039",2017-09-07,2017-09-09,"SKU13",2.4,1,2.4,"Kg"
1560256,1291835,"CUS025",2017-09-07,2017-09-08,"SKU01",390,130,390,"Kg"
1560257,1291565,"CUS015",2017-09-07,2017-09-08,"SKU01",150,50,150,"Kg"
1560268,1291962,"CUS003",2017-09-07,2017-09-09,"SKU01",18,6,18,"Kg"
1560317,1292778,"CUS007",2017-09-07,2017-09-07,"SKU02",296.064,24,296.064,"Kg"
1560318,1292778,"CUS007",2017-09-07,2017-09-08,"SKU02",629.136,51,629.136,"Kg"
1560325,1293346,"CUS039",2017-09-07,2017-09-10,"SKU02",283.73,23,283.73,"Kg"
1560326,1291832,"CUS025",2017-09-07,2017-09-07,"SKU03",60,20,60,"Kg"
1560335,1291526,"CUS015",2017-09-07,2017-09-07,"SKU03",30,10,30,"Kg"
1560350,1291958,"CUS003",2017-09-07,2017-09-08,"SKU03",18,6,18,"Kg"
1560390,1292782,"CUS082",2017-09-07,2017-09-09,"SKU15",12.96,3,12.96,"Kg"
1560406,1293335,"CUS039",2017-09-07,2017-09-10,"SKU08",12.48,2,12.48,"Kg"
1560492,1293352,"CUS039",2017-09-07,2017-09-10,"SKU07",2.8,1,2.8,"Kg"
1560561,1291608,"CUS015",2017-09-07,2017-09-08,"SKU07",1.68,0.6,1.68,"Kg"
1560599,1291593,"CUS015",2017-09-07,2017-09-08,"SKU05",1.44,0.33333,1.44,"Kg"
1560636,1292312,"CUS053",2017-09-07,2017-09-08,"SKU07",0.56,0.2,0.56,"Kg"
1560683,1291708,"CUS020",2017-09-07,2017-09-08,"SKU01",36,12,36,"Kg"
1560685,1291714,"CUS020",2017-09-07,2017-09-08,"SKU03",18,6,18,"Kg"
1560742,1291678,"CUS020",2017-09-07,2017-09-08,"SKU17",0.96,0.22222,0.96,"Kg"
1560744,1291697,"CUS020",2017-09-07,2017-09-08,"SKU07",0.56,0.2,0.56,"Kg"
1560749,1291736,"CUS020",2017-09-07,2017-09-09,"SKU05",0.48,0.11111,0.48,"Kg"
1560767,1292123,"CUS030",2017-09-07,2017-09-10,"SKU05",1.44,0.33333,1.44,"Kg"
1560907,1291469,"CUS009",2017-09-07,2017-09-08,"SKU01",3,1,3,"Kg"
1560912,1291481,"CUS009",2017-09-07,2017-09-07,"SKU03",3,1,3,"Kg"
1560936,1291427,"CUS009",2017-09-07,2017-09-08,"SKU05",2.4,0.55556,2.4,"Kg"
1560951,1291491,"CUS009",2017-09-07,2017-09-07,"SKU17",1.44,0.33333,1.44,"Kg"
1560969,1291488,"CUS009",2017-09-07,2017-09-08,"SKU15",0.48,0.11111,0.48,"Kg"
1561002,1292237,"CUS045",2017-09-07,2017-09-07,"SKU04",1.884,1,1.884,"Kg"
1561038,1292070,"CUS061",2017-09-07,2017-09-09,"SKU11",1.872,1,1.872,"Kg"
1561051,1292054,"CUS061",2017-09-07,2017-09-10,"SKU04",1.884,1,1.884,"Kg"
1561067,1292051,"CUS061",2017-09-07,2017-09-09,"SKU20",1,0.1,1,"Kg"
1561104,1291796,"CUS028",2017-09-07,2017-09-08,"SKU05",0.96,0.22222,0.96,"Kg"
1561227,1291844,"CUS049",2017-09-07,2017-09-07,"SKU04",1.884,1,1.884,"Kg"
1561277,1292036,"CUS024",2017-09-07,2017-09-07,"SKU13",2.4,1,2.4,"Kg"
1561286,1293002,"CUS008",2017-09-07,2017-09-09,"SKU02",296.06,24,296.06,"Kg"
1561319,1293062,"CUS008",2017-09-07,2017-09-10,"SKU08",24.96,4,24.96,"Kg"
1561321,1293057,"CUS008",2017-09-07,2017-09-09,"SKU17",12.96,3,12.96,"Kg"
1561354,1293058,"CUS008",2017-09-07,2017-09-09,"SKU07",5.6,2,5.6,"Kg"
1561381,1293023,"CUS008",2017-09-07,2017-09-10,"SKU15",4.32,1,4.32,"Kg"
1561384,1293063,"CUS008",2017-09-07,2017-09-09,"SKU20",9.23,0.923,9.23,"Kg"
1561397,1292995,"CUS008",2017-09-07,2017-09-09,"SKU09",5.04,1,5.04,"Kg"
1561411,1293055,"CUS008",2017-09-07,2017-09-10,"SKU05",0.04536,0.0105,0.04536,"Kg"
1561424,1292584,"CUS027",2017-09-07,2017-09-07,"SKU16",37.656,3,37.656,"Kg"
1561425,1292961,"CUS014",2017-09-07,2017-09-08,"SKU16",25.104,2,25.104,"Kg"
1561427,1292588,"CUS027",2017-09-07,2017-09-07,"SKU10",6.3,1,6.3,"Kg"
1561428,1292910,"CUS014",2017-09-07,2017-09-07,"SKU10",6.3,1,6.3,"Kg"
1561431,1292593,"CUS027",2017-09-07,2017-09-07,"SKU06",18.81,3,18.81,"Kg"
1561433,1292863,"CUS014",2017-09-07,2017-09-07,"SKU06",6.27,1,6.27,"Kg"
1561435,1292733,"CUS001",2017-09-07,2017-09-08,"SKU09",100.8,20,100.8,"Kg"
1561436,1292864,"CUS014",2017-09-07,2017-09-08,"SKU09",10.08,2,10.08,"Kg"
1561446,1292611,"CUS027",2017-09-07,2017-09-07,"SKU13",4.8,2,4.8,"Kg"
1561492,1292562,"CUS027",2017-09-07,2017-09-07,"SKU02",925.2,75,925.2,"Kg"
1561499,1292661,"CUS027",2017-09-07,2017-09-08,"SKU14",17.82,3,17.82,"Kg"
1561541,1292559,"CUS027",2017-09-07,2017-09-07,"SKU08",12.48,2,12.48,"Kg"
1561542,1292726,"CUS001",2017-09-07,2017-09-08,"SKU08",12.48,2,12.48,"Kg"
1561548,1292894,"CUS014",2017-09-07,2017-09-08,"SKU08",6.24,1,6.24,"Kg"
1561570,1292928,"CUS014",2017-09-07,2017-09-07,"SKU20",10,1,10,"Kg"
1561635,1292555,"CUS027",2017-09-07,2017-09-08,"SKU05",8.64,2,8.64,"Kg"
1561651,1292692,"CUS001",2017-09-07,2017-09-08,"SKU17",4.32,1,4.32,"Kg"
1561653,1292896,"CUS014",2017-09-07,2017-09-08,"SKU15",4.32,1,4.32,"Kg"
1561655,1292578,"CUS027",2017-09-07,2017-09-08,"SKU17",4.32,1,4.32,"Kg"
1561695,1293126,"CUS006",2017-09-07,2017-09-07,"SKU02",444.1,36,444.1,"Kg"
1561700,1293144,"CUS006",2017-09-07,2017-09-08,"SKU10",69.3,11,69.3,"Kg"
1561703,1293167,"CUS006",2017-09-07,2017-09-07,"SKU16",62.76,5,62.76,"Kg"
1561716,1293174,"CUS006",2017-09-07,2017-09-08,"SKU08",18.72,3,18.72,"Kg"
1561732,1293112,"CUS006",2017-09-07,2017-09-08,"SKU06",12.54,2,12.54,"Kg"
1561742,1293100,"CUS006",2017-09-07,2017-09-07,"SKU13",4.8,2,4.8,"Kg"
1561765,1293142,"CUS006",2017-09-07,2017-09-07,"SKU07",2.8,1,2.8,"Kg"
1561777,1293198,"CUS006",2017-09-07,2017-09-07,"SKU17",4.32,1,4.32,"Kg"
1561792,1293186,"CUS006",2017-09-07,2017-09-07,"SKU09",5.04,1,5.04,"Kg"
1561834,1292798,"CUS036",2017-09-07,2017-09-07,"SKU05",4.32,1,4.32,"Kg"
1561851,1292832,"CUS036",2017-09-07,2017-09-07,"SKU08",6.24,1,6.24,"Kg"
1561854,1292835,"CUS036",2017-09-07,2017-09-07,"SKU06",6.27,1,6.27,"Kg"
1561863,1292844,"CUS036",2017-09-07,2017-09-07,"SKU09",5.04,1,5.04,"Kg"
1561871,1292852,"CUS036",2017-09-07,2017-09-07,"SKU14",5.94,1,5.94,"Kg"
1561875,1292856,"CUS036",2017-09-07,2017-09-08,"SKU16",12.552,1,12.552,"Kg"
1561888,1292481,"CUS004",2017-09-07,2017-09-07,"SKU07",22.4,8,22.4,"Kg"
1561931,1292496,"CUS004",2017-09-07,2017-09-07,"SKU06",12.54,2,12.54,"Kg"
1561935,1292441,"CUS004",2017-09-07,2017-09-08,"SKU08",12.48,2,12.48,"Kg"
1561940,1292487,"CUS004",2017-09-07,2017-09-08,"SKU16",12.552,1,12.552,"Kg"
1561951,1292526,"CUS004",2017-09-07,2017-09-07,"SKU05",8.64,2,8.64,"Kg"
1561977,1292541,"CUS004",2017-09-07,2017-09-08,"SKU14",5.94,1,5.94,"Kg"
1561980,1292528,"CUS004",2017-09-07,2017-09-08,"SKU09",5.04,1,5.04,"Kg"
1562012,1293201,"CUS017",2017-09-07,2017-09-09,"SKU07",5.6,2,5.6,"Kg"
1562015,1292411,"CUS016",2017-09-07,2017-09-08,"SKU16",225.94,18,225.94,"Kg"
1562016,1292411,"CUS016",2017-09-07,2017-09-08,"SKU16",87.864,7,87.864,"Kg"
